year,community_area,primary_type,count
2001,67,MOTOR VEHICLE THEFT,8
2001,68,ASSAULT,2
2001,68,MOTOR VEHICLE THEFT,5
2001,68,CRIMINAL TRESPASS,2
2001,68,NARCOTICS,1
2001,68,THEFT,30
2001,68,HOMICIDE,17
2001,68,SEX OFFENSE,2
2001,68,KIDNAPPING,1
2001,68,CRIM SEXUAL ASSAULT,6
2001,68,OTHER OFFENSE,4
2001,68,CRIMINAL DAMAGE,5
2001,68,BATTERY,1
2001,68,OFFENSE INVOLVING CHILDREN,4
2001,68,DECEPTIVE PRACTICE,25
2001,69,OFFENSE INVOLVING CHILDREN,1
2001,69,MOTOR VEHICLE THEFT,21
2001,69,CRIMINAL DAMAGE,2
2001,69,CRIM SEXUAL ASSAULT,2
2001,69,BATTERY,1
2001,69,ASSAULT,1
2001,69,ROBBERY,1
2001,69,SEX OFFENSE,1
2001,69,DECEPTIVE PRACTICE,10
2001,69,NARCOTICS,1
2001,69,OTHER OFFENSE,5
2001,69,THEFT,31
2001,69,HOMICIDE,6
2001,70,BURGLARY,1
2001,70,SEX OFFENSE,1
2001,70,MOTOR VEHICLE THEFT,9
2001,70,HOMICIDE,2
2001,70,OFFENSE INVOLVING CHILDREN,2
2001,70,DECEPTIVE PRACTICE,4
2001,70,CRIM SEXUAL ASSAULT,3
2001,70,CRIMINAL DAMAGE,1
2001,70,THEFT,15
2001,70,OTHER OFFENSE,2
2001,70,BATTERY,1
2001,71,OFFENSE INVOLVING CHILDREN,7
2001,71,OTHER OFFENSE,5
2001,71,THEFT,30
2001,71,BATTERY,3
2001,71,ROBBERY,6
2001,71,NARCOTICS,1
2001,71,CRIM SEXUAL ASSAULT,4
2001,71,HOMICIDE,9
2001,71,DECEPTIVE PRACTICE,13
2001,71,SEX OFFENSE,1
2001,71,MOTOR VEHICLE THEFT,21
2001,71,CRIMINAL SEXUAL ASSAULT,1
2001,72,HOMICIDE,1
2001,72,OFFENSE INVOLVING CHILDREN,1
2001,72,MOTOR VEHICLE THEFT,1
2001,72,THEFT,9
2001,72,CRIM SEXUAL ASSAULT,1
2001,72,ROBBERY,1
2001,72,DECEPTIVE PRACTICE,3
2001,72,OTHER OFFENSE,2
2001,73,ASSAULT,2
2001,73,CRIMINAL SEXUAL ASSAULT,1
2001,73,CRIM SEXUAL ASSAULT,1
2001,73,MOTOR VEHICLE THEFT,13
2001,73,BURGLARY,1
2001,73,HOMICIDE,5
2001,73,CRIMINAL DAMAGE,3
2001,73,THEFT,13
2001,73,BATTERY,1
2001,73,OFFENSE INVOLVING CHILDREN,1
2001,73,ARSON,1
2001,73,SEX OFFENSE,1
2001,73,DECEPTIVE PRACTICE,5
2001,74,MOTOR VEHICLE THEFT,1
2001,74,THEFT,4
2001,74,DECEPTIVE PRACTICE,3
2001,74,OTHER OFFENSE,1
2001,74,CRIM SEXUAL ASSAULT,1
2001,74,ROBBERY,1
2001,75,MOTOR VEHICLE THEFT,3
2001,75,CRIMINAL DAMAGE,1
2001,75,THEFT,10
2001,75,OFFENSE INVOLVING CHILDREN,2
2001,75,OTHER OFFENSE,2
2001,75,DECEPTIVE PRACTICE,3
2001,75,HOMICIDE,4
2001,76,BATTERY,138
2001,76,CRIMINAL DAMAGE,160
2001,76,BURGLARY,17
2001,76,WEAPONS VIOLATION,45
2001,76,ROBBERY,3
2001,76,DECEPTIVE PRACTICE,269
2001,76,NARCOTICS,58
2001,76,CRIMINAL TRESPASS,201
2001,76,PROSTITUTION,1
2001,76,PUBLIC PEACE VIOLATION,18
